Metabolites,Antimetabolites category,Patient 2556,Patient 2766,Patient 2177,Patient 3196,Patient 3477,Patient 2280,,
3-hydroxyheptanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxyhexacosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxynonanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxyoctadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxypentadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxypentanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxytetracosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxytridecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-hydroxyundecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
"3-keto-eicosa-8,11,14,17-all-cis-tetraenoyl-CoA",Discarded fat content,1,1,1,1,1,1,,
3-oxo-11-cis-eicosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxo-13cis-docosenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxo-7-hexadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxo-cis-15-tetracosaenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxo-dihomo-gamma-linolenoyl-CoA,Discarded fat content,1,0,1,0,0,0,,
3-oxodecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxodocosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxododecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxoeicosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxoheptanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxohexacosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxohexanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxomyrist-5-enoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxomyrist-7-enoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxononanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxooctadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxooctanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxooleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxopalmitoleoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxopalmitoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxopentadecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxopentanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxotetracosanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxotetradecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxotridecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
3-oxoundecanoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
5-tetradecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
7-hexadecenoyl-CoA,Discarded fat content,1,1,1,1,1,1,,
7-palmitoleic acid,Discarded fat content,1,1,1,1,1,1,,
