GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000072195,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000072210,Weak,Strong,Moderate,Moderate,Moderate,Weak
ENSG00000072274,Moderate,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000072501,Negative,Weak,Moderate,Moderate,Negative,Negative
ENSG00000072736,Negative,Moderate,Weak,Negative,Negative,Negative
ENSG00000072778,Moderate,Strong,Strong,Strong,Strong,Moderate
ENSG00000072818,Moderate,Moderate,Weak,Moderate,Weak,Moderate
ENSG00000072832,Negative,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000072864,Strong,Strong,Weak,Moderate,Moderate,Strong
ENSG00000072958,Moderate,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000073331,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000073464,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000073578,Strong,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000073584,Strong,Moderate,Weak,Moderate,Strong,Strong
ENSG00000073598,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000073605,Moderate,Strong,Weak,Strong,Moderate,Weak
ENSG00000073711,Weak,Weak,Negative,Moderate,Moderate,Negative
ENSG00000073734,Negative,Negative,Negative,Moderate,Moderate,Weak
ENSG00000073861,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000073921,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000074370,Moderate,Strong,Moderate,Moderate,Strong,Weak
ENSG00000074416,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000074527,Weak,Weak,Negative,Moderate,Moderate,Moderate
ENSG00000074590,Negative,Moderate,Weak,Weak,Negative,Negative
ENSG00000074695,Strong,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000074706,Weak,Moderate,Negative,Moderate,Weak,Weak
ENSG00000074755,Moderate,Negative,Weak,Negative,Negative,Negative
ENSG00000074800,Weak,Moderate,Moderate,Weak,Weak,Moderate
ENSG00000074803,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000074935,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000074964,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000075151,Weak,Weak,Negative,Negative,Weak,Weak
ENSG00000075213,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000075234,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000075240,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000075292,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000075340,Moderate,Moderate,Weak,Moderate,Negative,Negative
ENSG00000075391,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000075399,Moderate,Negative,Moderate,Weak,Moderate,Moderate
ENSG00000075413,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000075539,Negative,Weak,Weak,Moderate,Weak,Weak
ENSG00000075568,Strong,Strong,Moderate,Moderate,Strong,Strong
ENSG00000075618,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000075643,Weak,Strong,Negative,Negative,Weak,Moderate
ENSG00000075785,Moderate,Weak,Moderate,Moderate,Moderate,Strong
ENSG00000075790,Moderate,Negative,Negative,Moderate,Moderate,Negative
ENSG00000075826,Strong,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000075856,Negative,Moderate,Moderate,Strong,Moderate,Weak
ENSG00000075884,Moderate,Weak,Weak,Moderate,Moderate,Moderate
ENSG00000075945,Moderate,Moderate,Moderate,Strong,Strong,Strong
ENSG00000075975,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000076108,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000076321,Negative,Moderate,Weak,Moderate,Weak,Weak
ENSG00000076382,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000076554,Moderate,Strong,Negative,Moderate,Moderate,Negative
ENSG00000076685,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000076716,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000077063,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000077097,Weak,Moderate,Weak,Weak,Moderate,Weak
ENSG00000077150,Weak,Moderate,Weak,Negative,Negative,Negative
ENSG00000077157,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000077232,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000077254,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000077454,Moderate,Moderate,Moderate,Moderate,Weak,Negative
ENSG00000077549,Negative,Weak,Negative,Weak,Moderate,Negative
ENSG00000077585,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000077684,Negative,Strong,Strong,Moderate,Moderate,Moderate
ENSG00000077809,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000078081,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000078140,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000078237,Moderate,Weak,Moderate,Moderate,Weak,Moderate
ENSG00000078246,Moderate,Moderate,Weak,Weak,Strong,Moderate
ENSG00000078269,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000078295,Strong,Moderate,Moderate,Moderate,Negative,Moderate
ENSG00000078304,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000078401,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000078487,Moderate,Weak,Strong,Strong,Moderate,Moderate
ENSG00000078589,Negative,Negative,Negative,Weak,Moderate,Negative
ENSG00000078618,Weak,Negative,Negative,Negative,Negative,Weak
ENSG00000078674,Moderate,Moderate,Strong,Strong,Moderate,Strong
ENSG00000078747,Moderate,Moderate,Strong,Strong,Strong,Moderate
ENSG00000079101,Moderate,Negative,Moderate,Moderate,Negative,Moderate
ENSG00000079112,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000079134,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000079308,Weak,Moderate,Moderate,Moderate,Weak,Negative
ENSG00000079313,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000079335,Moderate,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000079432,Moderate,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000079462,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000079616,Weak,Negative,Weak,Weak,Moderate,Weak
ENSG00000079691,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000079785,Weak,Weak,Negative,Moderate,Weak,Weak
ENSG00000080007,Moderate,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000080200,Negative,Weak,Weak,Weak,Negative,Negative
ENSG00000080371,Strong,Moderate,Strong,Strong,Moderate,Moderate
ENSG00000080503,Moderate,Weak,Strong,Strong,Strong,Strong
ENSG00000080561,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000080603,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000080644,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000080822,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000080823,Moderate,Strong,Moderate,Moderate,Strong,Strong
ENSG00000081051,Strong,Moderate,Moderate,Moderate,Strong,Negative
ENSG00000081059,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000081154,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000081320,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000081377,Negative,Weak,Negative,Strong,Weak,Negative
ENSG00000081760,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000081923,Negative,Weak,Moderate,Weak,Weak,Weak
ENSG00000081985,Weak,Moderate,Weak,Moderate,Weak,Weak
ENSG00000082068,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000082074,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000082146,Negative,Moderate,Weak,Negative,Weak,Negative
ENSG00000082269,Moderate,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000082293,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000082397,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000082497,Moderate,Moderate,Negative,Weak,Weak,Weak
ENSG00000082515,Moderate,Negative,Moderate,Moderate,Negative,Moderate
ENSG00000082701,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000082805,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000083097,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000083123,Weak,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000083454,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000083544,Moderate,Moderate,Weak,Moderate,Weak,Moderate
ENSG00000083635,Strong,Moderate,Negative,Weak,Moderate,Strong
ENSG00000083857,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000083896,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000083937,Weak,Weak,Moderate,Moderate,Negative,Moderate
ENSG00000084070,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000084072,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000084092,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000084207,Weak,Moderate,Negative,Weak,Weak,Negative
ENSG00000084453,Weak,Negative,Negative,Weak,Negative,Weak
ENSG00000084463,Moderate,Strong,Negative,Moderate,Negative,Weak
ENSG00000084623,Weak,Strong,Negative,Strong,Strong,Negative
ENSG00000084636,Negative,Moderate,Negative,Weak,Weak,Weak
ENSG00000084676,Moderate,Weak,Negative,Negative,Weak,Weak
ENSG00000084693,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000085063,Negative,Moderate,Negative,Negative,Weak,Weak
ENSG00000085117,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000085185,Weak,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000085231,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000085433,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000085491,Moderate,Moderate,Weak,Moderate,Weak,Weak
ENSG00000085552,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000085644,Moderate,Moderate,Weak,Weak,Weak,Weak
ENSG00000085662,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000085719,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000085788,Moderate,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000085831,Negative,Moderate,Weak,Strong,Weak,Negative
ENSG00000085840,Moderate,Negative,Weak,Negative,Negative,Negative
ENSG00000086159,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000086232,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000086288,Moderate,Moderate,Weak,Negative,Strong,Weak
ENSG00000086504,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000086619,Weak,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000086666,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000086717,Strong,Strong,Negative,Strong,Strong,Negative
ENSG00000086967,Moderate,Negative,Negative,Weak,Moderate,Negative
ENSG00000087008,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000087076,Weak,Moderate,Weak,Weak,Weak,Negative
ENSG00000087085,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000087086,Strong,Strong,Weak,Strong,Moderate,Strong
ENSG00000087088,Moderate,Moderate,Strong,Moderate,Strong,Moderate
ENSG00000087095,Negative,Weak,Negative,Negative,Negative,Weak
ENSG00000087111,Moderate,Moderate,Weak,Weak,Weak,Moderate
ENSG00000087116,Moderate,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000087157,Moderate,Strong,Moderate,Moderate,Moderate,Weak
ENSG00000087191,Moderate,Strong,Moderate,Strong,Moderate,Strong
ENSG00000087206,Negative,Weak,Weak,Negative,Negative,Negative
ENSG00000087448,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000087460,Weak,Weak,Weak,Weak,Moderate,Negative
ENSG00000087470,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000087589,Weak,Weak,Weak,Moderate,Weak,Negative
ENSG00000088205,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000088247,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000088387,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000088448,Moderate,Weak,Negative,Weak,Weak,Moderate
ENSG00000088451,Negative,Strong,Moderate,Weak,Negative,Negative
ENSG00000088538,Weak,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000088682,Moderate,Strong,Negative,Strong,Moderate,Strong
ENSG00000088727,Strong,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000088756,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000088836,Negative,Moderate,Negative,Negative,Weak,Moderate
ENSG00000088876,Weak,Weak,Negative,Weak,Negative,Negative
ENSG00000089006,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000089041,Moderate,Negative,Moderate,Moderate,Negative,Moderate
ENSG00000089123,Weak,Negative,Negative,Moderate,Negative,Weak
ENSG00000089154,Strong,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000089225,Weak,Weak,Weak,Moderate,Negative,Weak
ENSG00000089234,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000089289,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000089505,Moderate,Moderate,Strong,Moderate,Moderate,Negative
ENSG00000090238,Moderate,Moderate,Moderate,Moderate,Strong,Weak
ENSG00000090263,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000090273,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000090432,Weak,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000090512,Moderate,Weak,Negative,Weak,Moderate,Negative
ENSG00000090554,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000090565,Moderate,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000090621,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000090674,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000090686,Moderate,Strong,Strong,Strong,Strong,Strong
ENSG00000090889,Moderate,Moderate,Moderate,Strong,Strong,Moderate
ENSG00000090905,Moderate,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000091157,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000091317,Moderate,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000091409,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000091483,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000091527,Weak,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000091640,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000091656,Moderate,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000091704,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000091732,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000091972,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000091986,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000092036,Strong,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000092098,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000092203,Weak,Moderate,Moderate,Weak,Moderate,Weak
ENSG00000092295,Moderate,Weak,Moderate,Moderate,Moderate,Negative
ENSG00000092345,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000092421,Strong,Strong,Strong,Strong,Strong,Moderate
ENSG00000092529,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000092621,Moderate,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000092758,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000092820,Negative,Moderate,Weak,Negative,Negative,Weak
ENSG00000092850,Moderate,Moderate,Strong,Strong,Moderate,Strong
ENSG00000092931,Negative,Negative,Negative,Weak,Weak,Negative
ENSG00000092964,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000092978,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000093072,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000093167,Moderate,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000093183,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000094631,Moderate,Strong,Weak,Moderate,Weak,Weak
ENSG00000094963,Moderate,Moderate,Moderate,Strong,Weak,Moderate
ENSG00000095203,Negative,Moderate,Weak,Moderate,Weak,Weak
ENSG00000095209,Moderate,Moderate,Weak,Weak,Moderate,Weak
ENSG00000095303,Moderate,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000095321,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000095380,Negative,Strong,Negative,Moderate,Negative,Negative
ENSG00000095383,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000095397,Strong,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000095485,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000095585,Weak,Moderate,Weak,Moderate,Moderate,Negative
ENSG00000095596,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000095637,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000095739,Negative,Weak,Negative,Moderate,Negative,Weak
ENSG00000095787,Negative,Moderate,Weak,Moderate,Weak,Negative
ENSG00000095794,Weak,Moderate,Negative,Negative,Negative,Negative
ENSG00000095917,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000096060,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000096070,Weak,Weak,Negative,Moderate,Moderate,Weak
ENSG00000096080,Moderate,Moderate,Weak,Strong,Moderate,Moderate
ENSG00000096088,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000096696,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000096872,Weak,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000096968,Moderate,Moderate,Weak,Strong,Moderate,Moderate
ENSG00000097007,Weak,Weak,Strong,Moderate,Weak,Negative
ENSG00000097021,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000097033,Moderate,Strong,Weak,Strong,Strong,Negative
ENSG00000097096,Negative,Weak,Weak,Negative,Negative,Negative
ENSG00000099139,Weak,Weak,Weak,Negative,Weak,Negative
ENSG00000099203,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000099219,Negative,Moderate,Moderate,Moderate,Negative,Moderate
ENSG00000099250,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000099256,Strong,Strong,Weak,Weak,Moderate,Moderate
ENSG00000099260,Moderate,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000099308,Moderate,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000099330,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000099331,Moderate,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000099381,Moderate,Moderate,Negative,Weak,Moderate,Moderate
ENSG00000099769,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000099783,Strong,Strong,Strong,Strong,Strong,Moderate
ENSG00000099797,Negative,Negative,Weak,Moderate,Negative,Negative
ENSG00000099860,Moderate,Moderate,Moderate,Strong,Moderate,Negative
ENSG00000099875,Moderate,Moderate,Moderate,Strong,Weak,Weak
ENSG00000099910,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000099940,Weak,Moderate,Weak,Moderate,Strong,Weak
ENSG00000099956,Moderate,Strong,Weak,Strong,Moderate,Moderate
ENSG00000099957,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000099958,Negative,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000099960,Negative,Weak,Negative,Moderate,Weak,Negative
ENSG00000099985,Negative,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000099995,Moderate,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000100027,Moderate,Moderate,Moderate,Moderate,Strong,Weak
ENSG00000100030,Strong,Moderate,Strong,Strong,Negative,Moderate
ENSG00000100038,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000100065,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000100068,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000100075,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000100078,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000100084,Moderate,Weak,Moderate,Strong,Moderate,Moderate
ENSG00000100099,Moderate,Moderate,Strong,Moderate,Strong,Moderate
ENSG00000100106,Weak,Strong,Weak,Negative,Negative,Moderate
ENSG00000100109,Strong,Strong,Negative,Moderate,Moderate,Strong
ENSG00000100138,Negative,Weak,Weak,Moderate,Negative,Negative
ENSG00000100146,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000100151,Strong,Strong,Negative,Strong,Strong,Strong
ENSG00000100191,Strong,Strong,Weak,Strong,Strong,Moderate
ENSG00000100201,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000100207,Weak,Strong,Negative,Moderate,Negative,Negative
ENSG00000100209,Negative,Weak,Negative,Moderate,Weak,Negative
ENSG00000100218,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000100219,Negative,Negative,Negative,Negative,Negative,Negative
